--- Optimization Completed ---
Final Cost: 0.0785373787964323
Final Parameters: [4.26290326 0.11053458 0.81856754 4.62285113 1.65754124 1.07928091
 5.76114017 3.99150406 6.22186   ]

Best parameters (callback): [4.26225984 0.11406705 0.81370595 4.63003382 1.64842973 1.08607405
 5.77085817 3.9963624  6.21937467]
Best cost (callback): 0.054237384045698556

0.090914 (Num:0.131617 / Denom:0.144779)
0.109066 (Num:0.083256 / Denom:0.093448)
0.151695 (Num:0.180181 / Denom:0.212402)
0.066153 (Num:0.133678 / Denom:0.143147)
0.125042 (Num:0.136593 / Denom:0.156114)
0.091426 (Num:0.116723 / Denom:0.128469)
0.075300 (Num:0.132876 / Denom:0.143697)
0.128142 (Num:0.188024 / Denom:0.215658)
0.065263 (Num:0.079558 / Denom:0.085113)
0.082412 (Num:0.130859 / Denom:0.142612)
0.096376 (Num:0.092429 / Denom:0.102287)
0.137995 (Num:0.167370 / Denom:0.194164)
0.070298 (Num:0.130215 / Denom:0.140061)
0.172868 (Num:0.123636 / Denom:0.149476)
0.100816 (Num:0.118528 / Denom:0.131817)
0.078797 (Num:0.130517 / Denom:0.141681)
0.145048 (Num:0.119458 / Denom:0.139725)
0.130143 (Num:0.138405 / Denom:0.159112)
0.079838 (Num:0.128369 / Denom:0.139506)
0.205468 (Num:0.185916 / Denom:0.233994)
0.230732 (Num:0.068676 / Denom:0.089274)
0.089807 (Num:0.130434 / Denom:0.143303)
0.168818 (Num:0.142490 / Denom:0.171431)
0.203880 (Num:0.103006 / Denom:0.129386)
0.061701 (Num:0.131381 / Denom:0.140020)
0.176762 (Num:0.144630 / Denom:0.175684)
0.132615 (Num: 0.112319 / Denom: 0.129491)
0.054237 (Num: 0.131790 / Denom: 0.139348)
0.190716 (Num: 0.124754 / Denom: 0.154154)
0.174563 (Num: 0.122072 / Denom: 0.147887)
0.097905 (Num: 0.129167 / Denom: 0.143186)
0.142474 (Num: 0.167589 / Denom: 0.195434)
0.062123 (Num: 0.085689 / Denom: 0.091365)
0.075319 (Num: 0.129498 / Denom: 0.140046)
0.176697 (Num: 0.083136 / Denom: 0.100979)
0.177181 (Num: 0.170424 / Denom: 0.207122)
0.093791 (Num: 0.126800 / Denom: 0.139924)
0.135203 (Num: 0.127874 / Denom: 0.147866)
0.109064 (Num: 0.122737 / Denom: 0.137762)
0.076382 (Num: 0.129434 / Denom: 0.140138)
0.187236 (Num: 0.210463 / Denom: 0.258947)
0.209256 (Num: 0.050932 / Denom: 0.064410)
0.063521 (Num: 0.130137 / Denom: 0.138964)
0.177229 (Num: 0.123980 / Denom: 0.150686)
0.169939 (Num: 0.121243 / Denom: 0.146066)
0.097877 (Num: 0.128881 / Denom: 0.142864)
0.210118 (Num: 0.177383 / Denom: 0.224570)
0.247821 (Num: 0.074384 / Denom: 0.098891)
0.063318 (Num: 0.131579 / Denom: 0.140474)
0.140727 (Num: 0.116762 / Denom: 0.135885)
0.174652 (Num: 0.123897 / Denom: 0.150114)
0.099587 (Num: 0.128812 / Denom: 0.143058)
0.145816 (Num: 0.102477 / Denom: 0.119970)
0.145800 (Num: 0.153060 / Denom: 0.179186)
0.071194 (Num: 0.132042 / Denom: 0.142163)
0.220268 (Num: 0.159793 / Denom: 0.204933)
0.235917 (Num: 0.092632 / Denom: 0.121233)
0.089461 (Num: 0.129718 / Denom: 0.142463)
0.154706 (Num: 0.120064 / Denom: 0.142038)
0.142580 (Num: 0.128668 / Denom: 0.150064)
0.101596 (Num: 0.127345 / Denom: 0.141746)
0.210671 (Num: 0.185688 / Denom: 0.235247)
0.210609 (Num: 0.070054 / Denom: 0.088744)
0.075956 (Num: 0.132443 / Denom: 0.143330)
0.151861 (Num: 0.102136 / Denom: 0.120424)
0.152880 (Num: 0.152095 / Denom: 0.179543)
0.101352 (Num: 0.129935 / Denom: 0.144590)
0.245560 (Num: 0.101691 / Denom: 0.134790)
0.210164 (Num: 0.151944 / Denom: 0.192374)
0.078057 (Num: 0.131509 / Denom: 0.142643)
0.157488 (Num: 0.145238 / Denom: 0.172386)
0.129834 (Num: 0.110517 / Denom: 0.127007)
0.107538 (Num: 0.129647 / Denom: 0.145269)
0.118949 (Num: 0.164626 / Denom: 0.186851)
0.103674 (Num: 0.099285 / Denom: 0.110769)
0.078537 (Num: 0.130582 / Denom: 0.141712)
