% # columns="iter, evals, sigma, 0, fitness, xbest" seed=650964, Sun Nov 30 23:31:35 2025, <python>{}</python>
1 10 0.27274769819526506 0 0.8011718171645046 0.4654460482831239 0.5158474318534423 5.054896164769409 3.1046022755040985 4.865935107322987 2.0583167332276022 -0.05988870973165811 2.463999189148945 4.563842873958041
2 20 0.26898095325062915 0 0.6399400553381478 0.3805244018931219 0.3438505127963886 4.923472356360781 2.8261559377472385 5.318089901094796 2.270987056071804 -0.1472288106232398 2.4022133458863606 4.504782467307243
3 30 0.2967179094271469 0 0.4831355346342343 0.1317916716629252 0.3369620391193754 5.277188418419769 2.2728900015055356 5.608553538462386 2.2681563066074144 -0.3862787998336089 2.603458370414954 4.773626849215592
4 40 0.3217778068764829 0 0.3964159941423744 0.25533456789033365 0.05618172812089196 5.105619916800095 2.4209588728566507 5.528553651408518 2.082164792700705 -0.5246507636662354 2.913191656969478 4.763742111732366
5 50 0.3355507782205251 0 0.3930942482572707 0.4194601582520841 0.07112133545500687 5.17107095772208 2.5150774322989093 5.384159875690346 1.9832482024208422 -0.6979020937831721 2.866432595499718 4.903453627351558
6 60 0.33714210273246087 0 0.38536994715564 0.5512638653158556 0.05673597568791766 5.068482865291847 2.36944573174108 5.700651128552731 2.091368659602279 -0.5921907563134893 2.606133251725417 4.837764049635218
7 70 0.3371460298847231 0 0.3326965528025245 0.36988869513487443 0.6446822338971093 4.8737993813912945 2.4768433194391792 5.509890521332699 2.0508856581273096 -0.778127325380161 2.3317898895326135 4.799060178057141
8 80 0.35076479833978724 0 0.34096355576901005 -0.09647294515124388 0.4758569572193378 4.8899304291518195 2.3731382810371344 6.361667039810636 2.0458167829145326 -1.0548189672876473 2.361062696760835 4.599970145134127
9 90 0.33283254483383645 0 0.3355561323612962 0.18982259355038494 0.5985623509896124 4.4128847483404865 2.7872883433525217 5.543583702336385 1.6639071321317953 -0.9002346884088671 2.4881733944163247 4.598574509093555
10 100 0.33275623475794264 0 0.3047430149451764 0.4918034260420551 0.8092883241575546 4.47362090968269 2.8023322788396245 5.55736611802053 2.3045957210880226 -1.0734706233607634 2.3004768773341624 4.660492769203397
11 110 0.32161238207789405 0 0.3060632064772254 0.11604855938767045 0.7823883410941765 4.424247709283144 2.814357949551656 5.34923947662541 2.0651833312444614 -1.4566717432068383 2.324350477274414 4.62069772658494
12 120 0.32344962316247566 0 0.3157301304625598 0.4442719975065067 1.7033263872966184 4.994933577929342 3.2993654070916727 5.744626213867353 2.3313755671485867 -1.141057004830244 2.173714071236161 4.762215857256193
